"Lektion 19 -- Vanskelige verbalformer 1 (21--22)"
"Lær hovedtiderne af γίγνομαι udenad (21.9)! Bestem γένωνται","Aor konj med 3 pl."
"Hvilken from er γενέσθαι?","Aor inf med."
"Hvilken form er γεγονότι?","Perf ptc akt mask/neut dat sing"
"Hvilken form er ἐγίγνου?","Imperf ind præt med 2 sg."
"Lære Hovedtiderne af ἔρχομαι udenad (21.20)! Bestem ἐλήλυθεν.","Perf ind præs akt 3 sg."
"Bestem ἐλθόντας!","Aor ptc akt mask akk pl."
"Bestem ἤλθετε!","Aor ind præt akt 2 pl."
"Bestem ἔρχεσθαι!","Imperf inf med"
"Bestem ἐληλυθυίᾳ","Perf ptc akt fem dat sing."
"Lær hovedtiderne af λαμβάνω udenad (21.33)! Bestem λήψεσθαι.","Fut inf med."
"Bestem λάβῃς!","Aor konj akt 2 sg."
"Bestem ληφθείσης!","Aor ptc pass fem gen sing."
"Bestem λαμβάνομεν!","Imperf ind præs akt 1 pl."
"Bestem λαβεῖν!","Aor inf akt."
"Lær hovedtiderne af ὁράω udenad (21.43)! Bestem ἑώρων!","Imperf ind præt 3sg / 3 pl."
"Bestem ἴδοιμι!","Aor opt akt 1sg."
"Bestem ὄψεσθαι!","Fut inf med."
"Bestem ἰδόμενοι!","Aor ptc med mask nom pl."
"Bestem ὁρώμεθα!","Imperf ind præs med 1pl / imperf konj med 1 pl"
