"Lektion 06 -- Konsonantstammer fortsat (2.5)"
πόλιϛ (stamme: πόλε-) hedder i gen og dat sing...,πόλεωϛ \\ πόλει
Nom og akk pl ender på -ειϛ. ἡ πόλιϛ hedder i nom og akk pl...,αἱ πόλειϛ \\ τὰϛ πόλειϛ
Gen og dat dannes som i sing med stammen πολε og hedder...,πόλεων \\ πόλεσι
Bøj πόλιϛ i sing og plur!,"πόλιϛ, πόλιν, πόλεωϛ, πόλει \\ πόλειϛ, πόλειϛ, πόλεων, πόλεσι"
"βασιλεύϛ er en ϝ-stamme, og acc ender derfor på...","-α, men mellem to vokaler forsvinder ϝ βασιλέα."
Gen og dat plur af βασιλεύς har samme former af endelsen som πόλεωϛ og πόλει...,βασιλέωϛ \\ βασιλεῖ
"Nom plur ender på -ειϛ, βασιλεύς hedder altså...",βασιλεῖϛ.
"Acc plur ender på -αϛ, βασιλεύς hedder altså...",βασιλέαϛ.
"Gen plur har den sædvanlige endelse, så βασιλεύς hedder...",βασιλέων
"Dat-mærket er det alm -σι; ϝ viser sig (ligesom i nom sing) som -υ-, og βασιλεύς i dat plur hedder derfor...",βασιλεύσι
"σ-stammer er mest neutr, fx. τὸ γένοϛ (slægt). Nom og akk sing er ens og hedder...",τὸ γένοϛ \\ τὸ γένοϛ
"De øvrige kasus dannes af stammen γενεσ-. Mellem to vokaler forsvinder -σ-: εσοϛ → εοϛ → ουϛ. 
γένοϛ hedder i genitiv...",γένουϛ.
I dat svinder også -σ- mellem to vokaler: *γένεσι →,γένει.
"I nom og akk pl af γένος (*γενεσα → γενεα) sammentrækkes vokalerne til -η, altså...",τὰ γένη
Gen plur af γένος (*γενεσων) hedder...,γενῶν.
I dat plur (*γενεσσι) forsvinder det ene -σ- og formen hedder...,γένεσι.
Bøj hele sing af γένοϛ!,γένοϛ \\ γένοϛ \\ γένουϛ \\ γένει
Bøj plur af γένοϛ!,γένη \\ γένη \\ γενῶν \\ γένεσι(ν)
"Kontraktionsreglerne ved svind af intervokalisk sigma: 
*-εσος, *-εσι, *-εσα, *-εσων bliver til...",-ουϛ \\ -ει \\ -η \\ -ων
